[dotenv@17.2.3] injecting env (6) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
==============================================
DATABASE CONNECTION: D:\Z-ON DOOR 2024\zon app\server\database.sqlite
==============================================
Database connected and schema updated.
>>> SERVER RESTART: Stock Logic v2 is ACTIVE <<<
Server is running on port 5000
[2026-06-15T20:17:34.978Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:35.960Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:39.785Z] GET /api/workers/stats from 127.0.0.1
[2026-06-15T20:17:39.786Z] GET /api/workers/production-tracking from 127.0.0.1
[2026-06-15T20:17:39.912Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:17:39.913Z] GET /api/orders/settings/lead-time from 127.0.0.1
[2026-06-15T20:17:40.416Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:17:40.417Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:42.503Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:44.917Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:17:45.414Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:46.110Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:49.910Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:17:50.378Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:50.380Z] POST /api/orders/settings/lead-time from 127.0.0.1
[2026-06-15T20:17:51.084Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:54.206Z] GET /api/orders from 127.0.0.1
[2026-06-15T20:17:54.988Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:17:56.544Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:56.837Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:56.838Z] GET /api/orders/analytics from 127.0.0.1
[2026-06-15T20:17:56.845Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:17:56.856Z] GET /api/orders/analytics from 127.0.0.1
[2026-06-15T20:17:59.977Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:01.697Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:01.972Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:06.977Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:09.249Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:09.304Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:10.002Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:11.297Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:11.979Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:14.918Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:15.970Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:16.982Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:19.907Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:20.975Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:21.981Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:24.911Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:26.011Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:26.984Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:29.973Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:31.177Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:31.982Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:34.984Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:36.978Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:37.460Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:39.987Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:41.733Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:41.981Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:44.978Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:46.696Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:46.974Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:49.975Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:51.653Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:51.976Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:54.974Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:18:56.866Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:56.980Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:18:59.981Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:01.802Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:19:04.973Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:06.674Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:19:09.985Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:11.591Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:19:14.976Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:16.585Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:19:19.977Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:21.647Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:19:24.974Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:26.776Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:19:29.981Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:31.715Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:19:34.983Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:36.835Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:19:39.971Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-15T20:19:40.986Z] GET /api/notifications from 127.0.0.1
[2026-06-15T20:19:41.768Z] GET /api/notifications from 127.0.0.1
