[dotenv@17.2.3] injecting env (6) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
==============================================
DATABASE CONNECTION: D:\Z-ON DOOR 2024\zon app\server\database.sqlite
==============================================
Database connected and schema updated.
>>> SERVER RESTART: Stock Logic v2 is ACTIVE <<<
Server is running on port 5000
[2026-06-16T08:36:32.102Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:37:31.648Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:37:31.649Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:37:32.230Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:38:31.655Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:38:31.671Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:38:32.223Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:39:31.655Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:39:32.185Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:39:32.197Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:40:31.650Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:40:31.651Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:40:32.168Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:41:31.955Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:41:31.956Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:41:32.382Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:42:31.652Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:42:31.657Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:42:32.095Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:43:31.659Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:43:31.661Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:43:32.133Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:44:31.971Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:44:31.973Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:44:32.410Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:45:31.965Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:45:31.966Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:45:32.413Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:46:31.655Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:46:31.660Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:46:32.256Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:47:31.660Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:47:31.662Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:47:32.101Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:48:31.965Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:48:31.966Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:48:32.401Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:49:31.662Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:49:31.667Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:49:32.117Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:50:31.660Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:50:31.665Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:50:32.065Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:51:31.967Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:51:31.968Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:51:32.502Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:52:31.660Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:52:31.666Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:52:32.195Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:53:31.646Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:53:31.647Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:53:32.137Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:54:31.960Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:54:31.961Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:54:32.383Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:55:31.663Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:55:31.667Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:55:32.163Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:56:31.649Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:56:31.651Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:56:32.088Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:57:31.964Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:57:31.966Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:57:31.972Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:58:31.663Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:58:31.667Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:58:32.013Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:59:31.650Z] GET /api/notifications from 127.0.0.1
[2026-06-16T08:59:31.651Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T08:59:31.658Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:00:31.972Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:00:32.271Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:00:32.613Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:01:31.656Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:01:32.041Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:01:32.046Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:02:31.650Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:02:31.652Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:02:32.021Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:03:31.651Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:03:31.660Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:03:32.054Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:04:31.654Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:04:31.656Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:04:32.012Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:05:31.965Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:05:31.966Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:05:32.347Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:06:31.651Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:06:31.662Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:06:32.151Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:07:31.657Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:07:31.658Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:07:32.117Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:08:31.947Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:08:31.955Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:08:32.477Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:09:31.646Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:09:31.650Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:09:32.056Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:10:31.657Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:10:31.658Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:10:32.065Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:11:31.971Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:11:31.972Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:11:32.332Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:12:31.638Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:12:32.016Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:12:32.021Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:13:31.651Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:13:31.666Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:13:32.115Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:14:31.957Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:14:31.959Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:14:31.967Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:15:31.956Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:15:31.957Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:15:31.965Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:16:31.655Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:16:31.660Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:16:32.128Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:17:31.660Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:17:31.661Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:17:32.122Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:18:31.947Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:18:31.949Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:18:32.311Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:19:31.650Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:19:31.663Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:19:32.091Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:20:31.658Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:20:31.659Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:20:32.095Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:21:31.954Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:21:31.955Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:21:32.373Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:22:31.655Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:22:31.659Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:22:32.048Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:23:31.655Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:23:31.657Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:23:32.190Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:24:31.973Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:24:31.998Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:24:32.460Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:25:31.654Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:25:31.658Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:25:32.128Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:26:31.658Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:26:31.660Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:26:32.083Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:27:31.953Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:27:31.954Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:27:32.358Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:28:31.652Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:28:31.657Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:28:32.116Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:29:31.640Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:29:31.641Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:29:32.074Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:30:31.972Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:30:31.973Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:30:32.403Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:31:31.651Z] GET /api/notifications from 127.0.0.1
[2026-06-16T09:31:31.657Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-16T09:31:32.183Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:23:26.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:23:26.312Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-17T07:23:27.375Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:23:27.408Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-17T07:23:28.637Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:23:28.681Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:24:25.396Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-17T07:24:25.431Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:24:26.048Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:25:25.085Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-17T07:25:25.501Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:25:25.509Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:26:25.075Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:26:25.081Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-17T07:26:25.576Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:27:25.069Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:27:25.101Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-17T07:27:25.517Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:28:25.376Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:28:25.377Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-17T07:28:25.938Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:29:25.078Z] GET /api/orders?status=&search=&sort=latest from 127.0.0.1
[2026-06-17T07:29:25.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:29:25.517Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:30:25.378Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:31:25.068Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:32:25.386Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:33:25.079Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:34:25.375Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:35:25.068Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:36:25.363Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:37:25.065Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:38:25.376Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:39:25.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:40:25.387Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:41:25.071Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:42:25.383Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:43:25.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:44:25.380Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:45:25.070Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:46:25.387Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:47:25.076Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:48:25.371Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:49:25.077Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:50:25.386Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:51:25.082Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:52:25.382Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:53:25.377Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:54:25.072Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:55:25.383Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:56:25.067Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:57:25.375Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:58:25.072Z] GET /api/notifications from 127.0.0.1
[2026-06-17T07:59:25.388Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:00:25.076Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:01:25.374Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:02:25.068Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:03:25.382Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:04:25.070Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:05:25.389Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:06:25.075Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:07:25.385Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:08:25.071Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:09:25.382Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:10:25.079Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:11:25.373Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:12:25.073Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:13:25.385Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:14:25.069Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:15:25.375Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:16:25.071Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:17:25.388Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:18:25.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:19:25.388Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:20:25.068Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:21:25.382Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:22:25.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:23:25.384Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:24:25.079Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:25:25.367Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:26:25.079Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:27:25.388Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:28:25.076Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:29:25.383Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:30:25.067Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:31:25.384Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:32:25.081Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:33:25.383Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:34:25.067Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:35:25.381Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:36:25.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:37:25.385Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:38:25.079Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:39:25.365Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:40:25.065Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:41:25.386Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:42:25.078Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:43:25.381Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:44:25.066Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:45:25.393Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:46:25.079Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:47:25.383Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:48:25.071Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:49:25.395Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:50:25.079Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:51:25.382Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:52:25.065Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:53:25.374Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:54:25.070Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:55:25.380Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:56:25.068Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:57:25.380Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:58:25.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T08:59:25.380Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:00:25.071Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:05.549Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:05.550Z] GET /api/orders/analytics from 127.0.0.1
[2026-06-17T09:01:05.579Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:05.588Z] GET /api/orders/analytics from 127.0.0.1
[2026-06-17T09:01:10.241Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:11.184Z] GET /api/orders? from 127.0.0.1
[2026-06-17T09:01:11.188Z] GET /api/users?role=DISTRIBUTOR from 127.0.0.1
[2026-06-17T09:01:11.203Z] GET /api/workers/production-tracking from 127.0.0.1
[2026-06-17T09:01:11.214Z] GET /api/workers/analytics/performance from 127.0.0.1
[2026-06-17T09:01:11.256Z] GET /api/workers/analytics/materials from 127.0.0.1
[2026-06-17T09:01:11.798Z] GET /api/workers/stats from 127.0.0.1
[2026-06-17T09:01:11.799Z] GET /api/workers from 127.0.0.1
[2026-06-17T09:01:11.813Z] GET /api/workers/settings/location from 127.0.0.1
[2026-06-17T09:01:11.827Z] GET /api/workers/analytics/materials from 127.0.0.1
[2026-06-17T09:01:11.830Z] GET /api/workers/production-tracking from 127.0.0.1
[2026-06-17T09:01:11.868Z] GET /api/workers/analytics/performance from 127.0.0.1
[2026-06-17T09:01:11.902Z] GET /api/workers/stats from 127.0.0.1
[2026-06-17T09:01:12.100Z] GET /api/analytics/popular-sizes?days=30&limit=10 from 127.0.0.1
[2026-06-17T09:01:12.101Z] GET /api/analytics/design-trends?days=30&limit=10 from 127.0.0.1
[2026-06-17T09:01:12.101Z] GET /api/analytics/color-trends?days=30&limit=10 from 127.0.0.1
[2026-06-17T09:01:12.102Z] GET /api/analytics/sales-summary?days=30 from 127.0.0.1
[2026-06-17T09:01:12.121Z] GET /api/analytics/design-trends?days=30&limit=10 from 127.0.0.1
[2026-06-17T09:01:12.122Z] GET /api/analytics/popular-sizes?days=30&limit=10 from 127.0.0.1
[2026-06-17T09:01:12.126Z] GET /api/analytics/color-trends?days=30&limit=10 from 127.0.0.1
[2026-06-17T09:01:12.156Z] GET /api/analytics/sales-summary?days=30 from 127.0.0.1
[2026-06-17T09:01:13.105Z] GET /api/reports/sales-monthly from 127.0.0.1
[2026-06-17T09:01:13.186Z] GET /api/reports/sales-monthly from 127.0.0.1
[2026-06-17T09:01:15.248Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:20.251Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:25.071Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:25.241Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:30.243Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:35.363Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:41.070Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:46.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:51.065Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:01:56.071Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:02:01.077Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:02:06.062Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:02:11.073Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:02:16.069Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:02:21.066Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:02:25.076Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:02:26.073Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:02:31.077Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:02:36.070Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:03:25.386Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:03:25.390Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:04:25.064Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:04:25.078Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:05:25.373Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:05:25.377Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:06:25.069Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:06:25.073Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:07:25.075Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:07:25.080Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:08:25.371Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:08:25.375Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:09:25.067Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:09:25.071Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:10:25.070Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:10:25.074Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:11:25.384Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:11:25.388Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:12:25.074Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:12:25.078Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:13:25.382Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:13:25.385Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:14:25.071Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:14:25.075Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:15:25.379Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:15:25.382Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:16:25.073Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:16:25.079Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:17:25.070Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:17:25.077Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:18:25.375Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:18:25.379Z] GET /api/notifications from 127.0.0.1
[2026-06-17T09:19:25.069Z] GET /api/notifications from 127.0.0.1
